id_sale,lat,long,returned_street_name,returned_zip_code
4_1,40.72656934346081,-73.97985715060886,AVENUE B,10009
7_1,40.72537031314327,-73.98247679400875,EAST 7TH STREET,10009
8_1,40.727832227664365,-73.98162827642908,EAST 10TH   STREET,10009
10_1,40.728605780686514,-73.97889680699441,AVENUE B,10009
13_1,40.723544768670884,-73.98072031134336,EAST 5TH STREET,10009
15_1,40.72409135376551,-73.98313013409798,EAST 5TH STREET,10009
26_1,40.72355529302982,-73.97817325317028,EAST 7TH STREET,10009
176_1,40.72564701312709,-73.97933790042138,EAST 9TH   STREET,10009
177_1,40.727038628644095,-73.9794709618156,AVENUE B,10009
178_1,40.72765611489273,-73.97900534619501,AVENUE B,10009
199_1,40.72445295930242,-73.97887286759966,AVENUE C,10009
210_1,40.74361324436374,-73.99715625546283,WEST 22ND   STREET,10011
216_1,40.742479682503976,-73.99813788424491,WEST 20TH   STREET,10011
218_1,40.74625367815381,-74.00341046332079,WEST 22ND STREET,10011
220_1,40.74897371831942,-74.00359827593981,10TH   AVENUE,10001
222_1,40.74832597366921,-74.00304605352494,WEST 24TH   STREET,10011
223_1,40.74365993613281,-74.00097077134073,WEST 20TH STREET,10011
224_1,40.74526561396341,-74.0010646261992,WEST 22ND STREET,10011
225_1,40.74000666577635,-74.0015950089424,WEST 15TH STREET,10011
226_1,40.73981454419431,-73.99994226228623,WEST 15TH STREET,10011
227_1,40.73981454419431,-73.99994226228623,WEST 15TH STREET,10011
228_1,40.73981454419431,-73.99994226228623,WEST 15TH STREET,10011
231_1,40.743069797946376,-73.99780225089266,WEST 21ST   STREET,10011
234_1,40.73851627070029,-73.99883805115141,WEST 14TH STREET,10011
235_1,40.73849156718017,-73.99876588087302,WEST 14TH STREET,10011
236_1,40.73846411898484,-73.9987045363039,WEST 14TH STREET,10011
237_1,40.73870290968522,-73.99848080175296,WEST 15TH   STREET,10011
238_1,40.74890498206362,-74.00632675147232,WEST 23RD   STREET,10011
243_1,40.74081358753531,-73.99673777025555,WEST 18TH,10011
281_1,40.74387128544003,-74.00035366503043,WEST 20TH   STREET,10011
835_1,40.74462867833418,-74.00604485368324,TENTH AVENUE,10011
838_1,40.743072563276264,-73.9997004709631,8 AVENUE,10011
932_1,40.747277268034864,-74.00761862295734,WEST 21ST STREET,10011
933_1,40.73769281079045,-73.99696164956723,AVENUE OF THE AMER,10011
935_1,40.744804273428834,-73.99276059196846,WEST 25TH   STREET,10001
936_1,40.745130899995004,-73.99278220984654,WEST 26TH STREET,10001
941_1,40.748767846214875,-74.00407827406914,WEST 24TH,10011
942_1,40.74468632034397,-74.00600155246127,TENTH AVENUE,10011
944_1,40.745196875797,-74.00535199669615,WEST 19TH   STREET,10011
945_1,40.745520861696534,-73.99791404643804,8 AVENUE,10011
947_1,40.737819066888996,-73.99686782283483,AVENUE OF THE AMER,10011
949_1,40.74125546838902,-73.99597631605138,WEST 19TH STREET,10011
951_1,40.74412365806403,-73.9942222463367,WEST 24TH   STREET,10011
953_1,40.74500466911189,-73.99323694344127,WEST 25TH   STREET,10001
954_1,40.74552894404553,-73.9937277028836,WEST 26TH STREET,10001
955_1,40.74947325464405,-73.99615988534728,WEST 29TH   STREET,10001
956_1,40.744310403970246,-73.99688917075862,WEST 23RD   STREET,10011
964_1,40.74367348463568,-73.99357269847236,WEST 23RD   STREET,10011
966_1,40.739647103805524,-74.00155891435436,WEST 14TH   STREET,10011
1012_1,40.71530112113701,-73.99896110337933,MOTT STREET,10013
1015_1,40.712358683980256,-73.99635680809943,MADISON STREET,10002
1079_1,40.71809802114147,-74.00188668657519,WALKER STREET,10013
1080_1,40.717118085879974,-73.99594530682171,BOWERY,10013
1082_1,40.71449963901443,-73.99804487778626,DOYERS STREET,10013
1083_1,40.71442277783553,-73.99762644108267,BOWERY,10013
1084_1,40.71530111618488,-73.99851019338779,MOTT STREET,10013
1085_1,40.718671650257484,-73.99692283460796,MOTT STREET,10013
1087_1,40.71401374471826,-73.995494594383,DIVISION STREET,10002
1126_1,40.71845751210151,-74.00450209855991,WHITE STREET,10013
1127_1,40.71335202202468,-74.00862836129583,PARK PLACE,10007
1128_1,40.71726899209679,-74.0054074722753,LEONARD STREET,10013
1404_1,40.71447196818068,-74.0074309042302,CHAMBERS STREET,10007
1425_1,40.71684630850122,-74.00520181825895,WORTH STREET,10013
1426_1,,,WORTH,
1432_1,40.71866331796814,-74.00566010773612,FRANKLIN STREET,10013
1457_1,40.763270856177726,-73.99173698930244,WEST 48TH   STREET,10036
1458_1,40.76323791354583,-73.99165757611284,WEST 48TH   STREET,10036
1460_1,40.76485175961922,-73.99083791221163,WEST 51 STREET,10019
1462_1,40.76733014268602,-73.98945490371976,10TH   AVENUE,10019
1463_1,40.769215561864854,-73.98729931564284,WEST 58TH   STREET,10019
1467_1,40.76079783974067,-73.99169397917092,WEST 45TH STREET,10036
1783_1,40.764470588927054,-73.99808673020931,WEST 47TH   STREET,10036
1784_1,40.76450623669744,-73.99661387165186,WEST 47TH   STREET,10036
1788_1,40.76050155662082,-73.99411614353878,WEST 44TH   STREET,10036
1789_1,40.76503278168452,-73.98931808846761,WEST 52ND   STREET,10019
1795_1,40.72776407916845,-73.98486102256693,1 AVENUE,10009
1797_1,40.72562110783092,-73.99152879507987,EAST 2ND STREET,10003
1798_1,40.7311459478316,-73.98762047960099,EAST 11TH   STREET,10003
1799_1,40.72625991576282,-73.98458355803454,EAST 7TH STREET,10009
1800_1,40.72604859684051,-73.9847892550393,EAST 6TH STREET,10009
